
2025/01/23 (01:32:49) | ===> btop++ v.1.4.0
2025/01/23 (01:32:49) | WARNING: Intel GPU: Failed to initialize PMU

2025/01/23 (01:33:08) | ===> btop++ v.1.4.0
2025/01/23 (01:33:08) | WARNING: Intel GPU: Failed to initialize PMU

2025/01/23 (01:36:02) | ===> btop++ v.1.4.0
2025/01/23 (01:36:02) | WARNING: Intel GPU: Failed to initialize PMU

2025/01/23 (13:45:04) | ===> btop++ v.1.4.0
2025/01/23 (13:45:04) | WARNING: Intel GPU: Failed to initialize PMU

2025/01/23 (20:41:20) | ===> btop++ v.1.4.0
2025/01/23 (20:41:20) | WARNING: Intel GPU: Failed to initialize PMU

2025/01/23 (20:42:49) | ===> btop++ v.1.4.0
2025/01/23 (20:42:49) | WARNING: Intel GPU: Failed to initialize PMU

2025/01/23 (20:45:16) | ===> btop++ v.1.4.0
2025/01/23 (20:45:16) | WARNING: Intel GPU: Failed to initialize PMU

2025/01/24 (01:09:53) | ===> btop++ v.1.4.0
2025/01/24 (01:09:53) | WARNING: Intel GPU: Failed to initialize PMU

2025/01/24 (01:10:45) | ===> btop++ v.1.4.0
2025/01/24 (01:10:45) | WARNING: Intel GPU: Failed to initialize PMU

2025/01/24 (14:11:35) | ===> btop++ v.1.4.0
2025/01/24 (14:11:35) | WARNING: Intel GPU: Failed to initialize PMU

2025/01/25 (18:57:34) | ===> btop++ v.1.4.0
2025/01/25 (18:57:34) | WARNING: Intel GPU: Failed to initialize PMU

2025/01/25 (18:58:36) | ===> btop++ v.1.4.0
2025/01/25 (18:58:36) | WARNING: Intel GPU: Failed to initialize PMU

2025/01/25 (21:49:25) | ===> btop++ v.1.4.0
2025/01/25 (21:49:25) | WARNING: Intel GPU: Failed to initialize PMU

2025/01/25 (22:33:25) | ===> btop++ v.1.4.0
2025/01/25 (22:33:25) | WARNING: Intel GPU: Failed to initialize PMU

2025/01/26 (23:59:47) | ===> btop++ v.1.4.0
2025/01/26 (23:59:47) | WARNING: Intel GPU: Failed to initialize PMU

2025/01/27 (00:01:39) | ===> btop++ v.1.4.0
2025/01/27 (00:01:39) | WARNING: Intel GPU: Failed to initialize PMU

2025/01/27 (16:28:04) | ===> btop++ v.1.4.0
2025/01/27 (16:28:04) | WARNING: Intel GPU: Failed to initialize PMU

2025/01/27 (17:46:49) | ===> btop++ v.1.4.0
2025/01/27 (17:46:49) | WARNING: Intel GPU: Failed to initialize PMU

2025/02/01 (18:35:32) | ===> btop++ v.1.4.0
2025/02/01 (18:35:32) | WARNING: Intel GPU: Failed to initialize PMU

2025/02/01 (18:35:42) | ===> btop++ v.1.4.0
2025/02/01 (18:35:42) | WARNING: Intel GPU: Failed to initialize PMU

2025/02/01 (23:53:58) | ===> btop++ v.1.4.0
2025/02/01 (23:53:58) | WARNING: Intel GPU: Failed to initialize PMU

2025/02/03 (14:14:27) | ===> btop++ v.1.4.0
2025/02/03 (14:14:27) | WARNING: Intel GPU: Failed to initialize PMU

2025/02/03 (22:10:52) | ===> btop++ v.1.4.0
2025/02/03 (22:10:52) | WARNING: Intel GPU: Failed to initialize PMU

2025/02/07 (21:02:27) | ===> btop++ v.1.4.0
2025/02/07 (21:02:27) | WARNING: Intel GPU: Failed to initialize PMU

2025/02/07 (23:41:19) | ===> btop++ v.1.4.0
2025/02/07 (23:41:19) | WARNING: Intel GPU: Failed to initialize PMU
